,Name,Scores
0,[],[]
1,[],[]
2,[],[]
3,[],[]
4,[],[]
5,[],[]
6,[],[]
7,[],[]
8,[],[]
9,[],[]
10,[],[]
11,[],[]
12,[],[]
13,[],[]
14,[],[]
15,[],[]
16,[],[]
17,[],[]
18,[],[]
19,[],[]
20,[],[]
21,[],[]
22,[],[]
23,[],[]
24,[],[]
25,[],[]
26,['blueBlock'],[0.11167638]
27,['blueBlock'],[0.122608975]
28,['blueBlock'],[0.10375003]
29,[],[]
30,[],[]
31,['blueBlock'],[0.10515446]
32,['blueBlock'],[0.11116565]
33,[],[]
34,[],[]
35,['blueBlock'],[0.10502138]
36,[],[]
37,['blueBlock'],[0.116325244]
38,['blueBlock'],[0.12237413]
39,['blueBlock'],[0.10826682]
40,['blueBlock'],[0.10272535]
41,['blueBlock'],[0.11310262]
42,['blueBlock'],[0.11554073]
43,['blueBlock'],[0.11407181]
44,['blueBlock'],[0.15384]
45,['blueBlock'],[0.11844304]
46,['blueBlock'],[0.10653034]
47,['blueBlock'],[0.12892804]
48,[],[]
49,[],[]
