,Name,Scores
0,['redBlock'],[0.11223287]
1,['redBlock'],[0.10606793]
2,['redBlock'],[0.11229092]
3,['redBlock'],[0.11785947]
4,['redBlock'],[0.11074677]
5,['redBlock'],[0.10528554]
6,['redBlock'],[0.11295808]
7,['redBlock'],[0.12296792]
8,['redBlock'],[0.11314678]
9,['redBlock'],[0.109158486]
10,[],[]
11,['redBlock'],[0.10110145]
12,[],[]
13,[],[]
14,['redBlock'],[0.106602415]
15,[],[]
16,['redBlock'],[0.10230005]
17,['redBlock'],[0.10883208]
18,['redBlock'],[0.11404919]
19,['redBlock'],[0.16271155]
20,['redBlock' 'redBlock'],"[0.118778005, 0.12184263]"
21,['redBlock' 'redBlock'],"[0.13894685, 0.12659235]"
22,['redBlock' 'redBlock'],"[0.1326695, 0.1398149]"
23,['redBlock' 'redBlock'],"[0.13311374, 0.15583359]"
24,['redBlock'],[0.1461656]
25,['redBlock'],[0.13508339]
26,['redBlock' 'redBlock'],"[0.14202468, 0.10528416]"
27,['redBlock' 'redBlock'],"[0.14555079, 0.119656585]"
28,['redBlock' 'redBlock'],"[0.12608416, 0.116023004]"
29,['redBlock' 'redBlock'],"[0.12104022, 0.12527378]"
30,['redBlock' 'redBlock'],"[0.12633234, 0.14858568]"
31,['redBlock' 'redBlock'],"[0.13442634, 0.13436608]"
32,['redBlock' 'redBlock'],"[0.14097306, 0.16276178]"
33,['redBlock' 'redBlock'],"[0.13013403, 0.15509832]"
34,['redBlock' 'redBlock'],"[0.13584808, 0.17815585]"
35,['redBlock' 'redBlock'],"[0.15410337, 0.20534818]"
36,['redBlock' 'redBlock'],"[0.1286239, 0.15076724]"
37,['redBlock' 'redBlock'],"[0.13007884, 0.19221911]"
38,['redBlock' 'redBlock'],"[0.1534086, 0.22787586]"
39,['redBlock' 'redBlock'],"[0.15500554, 0.22893648]"
40,['redBlock' 'redBlock'],"[0.14466423, 0.21102092]"
41,['redBlock'],[0.2585826]
42,['redBlock' 'redBlock'],"[0.11931994, 0.20614766]"
43,['redBlock' 'redBlock'],"[0.13619994, 0.21655768]"
44,['redBlock' 'redBlock'],"[0.13971473, 0.22438738]"
45,['redBlock' 'redBlock'],"[0.10619387, 0.16653287]"
46,['redBlock' 'redBlock'],"[0.11756652, 0.24606691]"
47,['redBlock' 'redBlock'],"[0.14689977, 0.18277885]"
48,['redBlock' 'redBlock'],"[0.13018385, 0.16093181]"
49,['redBlock' 'redBlock'],"[0.101718515, 0.13841438]"
